fk_id_policy_info,fk_id_crp,fk_id_pol_inv_typ,fk_id_smo_org_types,fk_id_stage_processes,fk_id_stg_maturity,fk_id_geo_scopes,fk_id_phases,fk_id_location,fk_id_ext_partner,fk_id_policy_owner,"fk_id_oics"
1,2,1,0,4,0,4,26,85,298,2,"326"
2,2,1,0,3,0,4,23,67,346,2,"165"
2,2,1,0,3,0,4,23,67,673,2,"165"
2,2,1,0,3,0,4,23,67,1962,2,"165"
2,2,1,0,3,0,4,23,67,2037,2,"165"
2,2,1,0,3,0,4,23,67,113,2,"165"
2,2,1,0,3,0,4,23,67,346,1,"165"
2,2,1,0,3,0,4,23,67,673,1,"165"
2,2,1,0,3,0,4,23,67,1962,1,"165"
2,2,1,0,3,0,4,23,67,2037,1,"165"
2,2,1,0,3,0,4,23,67,113,1,"165"
3,1,1,10,3,0,2,6,298,646,2,"0"
3,1,1,10,3,0,2,6,298,21,2,"0"
3,1,1,10,3,0,2,6,298,184,2,"0"
3,1,1,10,3,0,2,6,298,269,2,"95"
3,1,1,10,3,0,2,6,298,471,2,"95"
3,1,1,10,3,0,2,6,298,2011,2,"95"
3,1,1,10,3,0,2,6,298,470,2,"95"
3,1,1,10,3,0,2,6,298,711,2,"95"
3,1,1,10,3,0,2,6,298,191,2,"95"
3,1,1,10,3,0,2,6,298,122,2,"95"
3,1,1,10,3,0,2,6,298,12,2,"95"
3,1,1,10,3,0,2,6,298,184,2,"95"
3,1,1,10,3,0,2,6,298,467,2,"95"
4,1,1,4,4,0,5,6,258,505,2,"0"
4,1,1,4,4,0,5,6,258,281,2,"0"
4,1,1,4,4,0,5,6,258,252,2,"0"
4,1,1,4,4,0,5,6,258,223,2,"0"
4,1,1,4,4,0,5,6,258,861,2,"0"
4,1,1,4,4,0,5,6,258,1662,2,"0"
5,1,1,8,4,0,3,6,24,944,2,"0"
5,1,1,8,4,0,3,6,24,860,2,"0"
5,1,1,8,4,0,3,6,24,285,2,"0"
5,1,1,8,4,0,3,6,24,27,2,"0"
5,1,1,8,4,0,3,6,24,93,2,"0"
5,1,1,8,4,0,3,6,135,944,2,"0"
5,1,1,8,4,0,3,6,135,860,2,"0"
5,1,1,8,4,0,3,6,135,285,2,"0"
5,1,1,8,4,0,3,6,135,27,2,"0"
5,1,1,8,4,0,3,6,135,93,2,"0"
6,1,1,8,4,0,5,6,24,93,2,"0"
6,1,1,8,4,0,5,6,24,860,2,"0"
6,1,1,8,4,0,5,6,24,944,2,"0"
6,1,1,8,4,0,5,6,24,2198,2,"0"
7,1,1,8,4,0,4,6,118,202,2,"0"
7,1,1,8,4,0,4,6,118,106,2,"0"
7,1,1,8,4,0,4,6,118,110,2,"0"
7,1,1,8,4,0,4,6,118,115,2,"0"
7,1,1,8,4,0,4,6,118,112,2,"0"
7,1,1,8,4,0,4,6,118,400,2,"0"
8,1,1,8,4,0,4,6,93,554,2,"0"
8,1,1,8,4,0,4,6,93,506,2,"0"
8,1,1,8,4,0,4,6,93,711,2,"0"
9,1,1,4,4,0,4,6,258,505,2,"0"
9,1,1,4,4,0,4,6,258,281,2,"0"
9,1,1,4,4,0,4,6,258,252,2,"0"
9,1,1,4,4,0,4,6,258,223,2,"0"
9,1,1,4,4,0,4,6,258,861,2,"0"
9,1,1,4,4,0,4,6,258,1662,2,"0"
10,1,1,8,4,0,5,6,183,815,2,"97"
10,1,1,8,4,0,5,6,183,954,2,"97"
10,1,1,8,4,0,5,6,183,372,2,"97"
11,1,3,8,4,0,5,9,183,491,2,"330"
11,1,3,8,4,0,5,9,183,2504,2,"330"
11,1,3,8,4,0,5,9,183,79,2,"330"
11,1,3,8,4,0,5,9,183,695,2,"330"
11,1,3,8,4,0,5,9,183,2746,2,"330"
11,1,3,8,4,0,5,9,183,951,2,"330"
12,1,1,8,4,0,4,6,269,203,2,"184"
13,1,1,8,5,0,4,9,269,203,2,"0"
13,1,1,8,5,0,4,9,269,203,2,"341"
14,1,3,10,4,0,1,6,87,0,1,"115"
14,1,3,10,4,0,1,6,87,673,1,"0"
15,1,4,8,4,0,4,6,201,1018,2,"0"
16,1,1,6,3,0,5,6,258,1599,3,"0"
16,1,1,6,3,0,5,6,258,158,3,"0"
17,1,1,8,4,0,5,6,201,273,2,"0"
18,1,1,4,4,0,4,6,201,273,2,"0"
19,1,1,0,4,0,4,6,201,273,2,"0"
20,2,1,0,4,0,4,23,139,693,2,"197"
20,2,1,0,4,0,4,23,139,302,2,"197"
20,2,1,0,4,0,4,23,139,673,2,"197"
21,2,1,0,4,0,4,23,19,650,2,"199"
21,2,1,0,4,0,4,23,19,294,2,"199"
21,2,1,0,4,0,4,23,19,673,2,"199"
22,1,1,8,3,0,4,6,26,186,2,"0"
23,1,2,4,4,0,5,6,258,505,2,"0"
23,1,2,4,4,0,5,6,258,281,2,"0"
23,1,2,4,4,0,5,6,258,252,2,"0"
23,1,2,4,4,0,5,6,258,223,2,"0"
23,1,2,4,4,0,5,6,258,861,2,"0"
23,1,2,4,4,0,5,6,258,1662,2,"0"
24,1,1,8,4,0,4,6,50,193,2,"187"
24,1,1,8,4,0,4,6,50,2206,2,"187"
25,1,1,8,4,0,4,6,201,271,2,"0"
25,1,1,8,4,0,4,6,201,113,2,"0"
25,1,1,8,4,0,4,6,201,1692,2,"0"
25,1,1,8,4,0,4,6,201,1825,2,"0"
25,1,1,8,4,0,4,6,201,1826,2,"0"
25,1,1,8,4,0,4,6,201,273,2,"0"
26,1,4,8,4,0,4,6,85,552,2,"164"
26,1,4,8,4,0,4,6,85,25,2,"164"
26,1,4,8,4,0,4,6,85,105,2,"164"
26,1,4,8,4,0,4,6,85,106,2,"164"
26,1,4,8,4,0,4,6,85,552,3,"164"
26,1,4,8,4,0,4,6,85,25,3,"164"
26,1,4,8,4,0,4,6,85,105,3,"164"
26,1,4,8,4,0,4,6,85,106,3,"164"
27,1,1,8,4,0,5,6,269,123,2,"0"
28,1,1,8,4,0,5,6,201,556,2,"0"
28,1,1,8,4,0,5,6,201,273,2,"0"
28,1,1,8,4,0,5,6,201,86,2,"0"
28,1,1,8,4,0,5,6,201,279,2,"0"
28,1,1,8,4,0,5,6,201,273,2,"0"
28,1,1,8,4,0,5,6,201,273,2,"0"
28,1,1,8,4,0,5,6,201,106,2,"0"
28,1,1,8,4,0,5,6,201,1692,2,"0"
29,1,1,3,3,0,1,6,87,552,3,"0"
29,1,1,3,3,0,1,6,87,1384,3,"0"
29,1,1,3,3,0,1,6,87,552,4,"0"
29,1,1,3,3,0,1,6,87,1384,4,"0"
30,1,1,5,3,0,4,6,50,79,2,"0"
30,1,1,5,3,0,4,6,50,467,2,"0"
30,1,1,5,3,0,4,6,50,191,2,"0"
30,1,1,5,3,0,4,6,50,192,2,"0"
31,1,3,3,4,0,3,6,50,677,4,"114"
31,1,3,3,4,0,3,6,50,106,4,"0"
31,1,3,3,4,0,3,6,50,677,4,"0"
31,1,3,3,4,0,3,6,54,677,4,"114"
31,1,3,3,4,0,3,6,54,106,4,"0"
31,1,3,3,4,0,3,6,54,677,4,"0"
31,1,3,3,4,0,3,6,66,677,4,"114"
31,1,3,3,4,0,3,6,66,106,4,"0"
31,1,3,3,4,0,3,6,66,677,4,"0"
31,1,3,3,4,0,3,6,85,677,4,"114"
31,1,3,3,4,0,3,6,85,106,4,"0"
31,1,3,3,4,0,3,6,85,677,4,"0"
31,1,3,3,4,0,3,6,93,677,4,"114"
31,1,3,3,4,0,3,6,93,106,4,"0"
31,1,3,3,4,0,3,6,93,677,4,"0"
31,1,3,3,4,0,3,6,101,677,4,"114"
31,1,3,3,4,0,3,6,101,106,4,"0"
31,1,3,3,4,0,3,6,101,677,4,"0"
31,1,3,3,4,0,3,6,106,677,4,"114"
31,1,3,3,4,0,3,6,106,106,4,"0"
31,1,3,3,4,0,3,6,106,677,4,"0"
31,1,3,3,4,0,3,6,118,677,4,"114"
31,1,3,3,4,0,3,6,118,106,4,"0"
31,1,3,3,4,0,3,6,118,677,4,"0"
31,1,3,3,4,0,3,6,146,677,4,"114"
31,1,3,3,4,0,3,6,146,106,4,"0"
31,1,3,3,4,0,3,6,146,677,4,"0"
31,1,3,3,4,0,3,6,187,677,4,"114"
31,1,3,3,4,0,3,6,187,106,4,"0"
31,1,3,3,4,0,3,6,187,677,4,"0"
31,1,3,3,4,0,3,6,200,677,4,"114"
31,1,3,3,4,0,3,6,200,106,4,"0"
31,1,3,3,4,0,3,6,200,677,4,"0"
31,1,3,3,4,0,3,6,209,677,4,"114"
31,1,3,3,4,0,3,6,209,106,4,"0"
31,1,3,3,4,0,3,6,209,677,4,"0"
31,1,3,3,4,0,3,6,222,677,4,"114"
31,1,3,3,4,0,3,6,222,106,4,"0"
31,1,3,3,4,0,3,6,222,677,4,"0"
31,1,3,3,4,0,3,6,68,677,4,"114"
31,1,3,3,4,0,3,6,68,106,4,"0"
31,1,3,3,4,0,3,6,68,677,4,"0"
31,1,3,3,4,0,3,6,258,677,4,"114"
31,1,3,3,4,0,3,6,258,106,4,"0"
31,1,3,3,4,0,3,6,258,677,4,"0"
32,2,1,0,3,0,1,23,87,79,1,"203"
33,2,1,0,4,0,1,26,87,79,1,"397"
34,2,1,0,4,0,5,23,195,2242,2,"207"
34,2,1,0,4,0,5,23,195,210,2,"207"
34,2,1,0,4,0,5,23,195,79,2,"207"
34,2,1,0,4,0,5,23,195,329,2,"207"
35,2,1,0,4,0,4,23,19,79,1,"202"
35,2,1,0,4,0,4,23,19,650,1,"202"
36,2,1,0,4,0,4,23,209,187,2,"204"
36,2,1,0,4,0,4,23,209,356,2,"204"
37,4,1,3,3,0,4,57,72,0,2,"166"
37,4,1,3,3,0,4,57,72,0,4,"166"
38,4,1,3,3,0,4,60,72,0,2,"0"
38,4,1,3,3,0,4,60,72,0,4,"0"
39,4,1,0,4,0,4,57,32,971,2,"244"
39,4,1,0,4,0,4,57,32,320,2,"244"
39,4,1,0,4,0,4,57,32,1864,2,"244"
39,4,1,0,4,0,4,57,32,1810,2,"244"
40,4,1,0,4,0,5,57,118,960,2,"168"
40,4,1,0,4,0,5,57,118,132,2,"168"
41,15,1,3,3,0,4,142,105,0,1,"0"
41,15,1,3,3,0,4,142,105,0,2,"0"
42,1,1,10,4,0,2,6,299,719,4,"0"
43,4,1,0,3,0,4,57,105,118,2,"255"
43,4,1,0,3,0,4,57,105,1878,2,"255"
43,4,1,0,3,0,4,57,105,1736,2,"255"
43,4,1,0,3,0,4,57,105,1859,2,"255"
44,4,1,9,3,0,1,57,87,0,4,"0"
44,4,1,9,3,0,1,57,87,0,2,"0"
45,4,1,0,3,0,2,57,299,0,2,"0"
45,4,1,0,3,0,2,57,299,0,4,"0"
46,4,1,0,3,0,1,57,87,0,3,"0"
47,4,1,0,3,0,1,57,87,0,4,"0"
48,4,1,0,3,0,1,57,87,0,4,"0"
49,2,1,0,4,0,4,23,19,79,1,"208"
49,2,1,0,4,0,4,23,19,1889,1,"208"
50,2,1,0,4,0,4,23,136,348,1,"205"
50,2,1,0,4,0,4,23,136,356,1,"205"
51,2,1,0,4,0,4,23,72,1002,1,"201"
51,2,1,0,4,0,4,23,72,79,1,"201"
51,2,1,0,4,0,4,23,72,636,1,"201"
52,2,1,0,4,0,4,23,47,675,2,"206"
52,2,1,0,4,0,4,23,47,2183,2,"206"
52,2,1,0,4,0,4,23,47,2386,2,"206"
52,2,1,0,4,0,4,23,47,2539,2,"206"
53,1,1,8,4,0,5,6,50,154,2,"0"
53,1,1,8,4,0,5,6,50,511,2,"0"
54,1,1,8,3,0,4,6,118,0,2,"0"
55,1,3,7,3,0,4,6,118,646,2,"0"
55,1,3,7,3,0,4,6,118,110,2,"0"
55,1,3,7,3,0,4,6,118,646,1,"0"
55,1,3,7,3,0,4,6,118,110,1,"0"
56,2,1,0,4,0,4,23,19,650,2,"200"
56,2,1,0,4,0,4,23,19,294,2,"200"
56,2,1,0,4,0,4,23,19,146,2,"200"
56,2,1,0,4,0,4,23,19,436,2,"200"
57,5,1,8,3,0,4,74,50,0,2,"0"
58,4,1,1,3,0,1,57,87,0,1,"0"
59,1,3,8,4,0,2,6,276,673,1,"0"
60,12,1,8,4,0,4,108,26,186,4,"214"
60,12,1,8,4,0,4,108,26,246,4,"214"
60,12,1,8,4,0,4,108,26,186,2,"214"
60,12,1,8,4,0,4,108,26,246,2,"214"
61,2,1,0,4,0,4,23,201,271,2,"195"
61,2,1,0,4,0,4,23,201,1692,2,"195"
61,2,1,0,4,0,4,23,201,1825,2,"195"
61,2,1,0,4,0,4,23,201,1826,2,"195"
62,5,1,8,4,0,4,74,209,0,2,"272"
63,2,1,0,4,0,4,23,72,513,2,"219"
63,2,1,0,4,0,4,23,72,2410,2,"219"
63,2,1,0,4,0,4,23,72,513,3,"219"
63,2,1,0,4,0,4,23,72,2410,3,"219"
64,5,3,1,3,0,4,74,72,0,2,"0"
65,2,1,0,4,0,4,23,136,187,2,"204"
65,2,1,0,4,0,4,23,136,356,2,"204"
66,4,1,2,3,0,1,57,87,0,4,"0"
67,2,3,0,4,0,5,23,19,650,1,"198"
67,2,3,0,4,0,5,23,19,707,1,"198"
67,2,3,0,4,0,5,23,19,525,1,"198"
68,4,3,0,4,0,3,57,37,291,1,"217"
68,4,3,0,4,0,3,57,37,146,1,"217"
68,4,3,0,4,0,3,57,72,291,1,"217"
68,4,3,0,4,0,3,57,72,146,1,"217"
68,4,3,0,4,0,3,57,105,291,1,"217"
68,4,3,0,4,0,3,57,105,146,1,"217"
68,4,3,0,4,0,3,57,118,291,1,"217"
68,4,3,0,4,0,3,57,118,146,1,"217"
68,4,3,0,4,0,3,57,154,291,1,"217"
68,4,3,0,4,0,3,57,154,146,1,"217"
68,4,3,0,4,0,3,57,189,291,1,"217"
68,4,3,0,4,0,3,57,189,146,1,"217"
68,4,3,0,4,0,3,57,262,291,1,"217"
68,4,3,0,4,0,3,57,262,146,1,"217"
69,12,1,8,4,0,4,108,201,1018,2,"0"
69,12,1,8,4,0,4,108,201,273,2,"0"
69,12,1,8,4,0,4,108,201,273,2,"212"
70,4,1,0,4,0,2,57,276,195,4,"249"
70,4,1,0,4,0,2,57,276,79,4,"249"
70,4,1,0,4,0,2,57,276,1610,4,"249"
70,4,1,0,4,0,2,57,276,518,4,"249"
70,4,1,0,4,0,2,57,276,500,4,"249"
70,4,1,0,4,0,2,57,276,517,4,"249"
70,4,1,0,4,0,2,57,276,2389,4,"249"
70,4,1,0,4,0,2,57,276,2391,4,"249"
71,2,2,0,3,0,4,23,201,271,2,"195"
71,2,2,0,3,0,4,23,201,1692,2,"195"
71,2,2,0,3,0,4,23,201,1825,2,"195"
71,2,2,0,3,0,4,23,201,1826,2,"195"
72,2,1,0,4,0,4,23,72,79,1,"208"
72,2,1,0,4,0,4,23,72,1889,1,"208"
73,2,1,0,4,0,4,23,189,79,1,"208"
73,2,1,0,4,0,4,23,189,1889,1,"208"
74,2,1,0,4,0,4,23,101,79,1,"208"
74,2,1,0,4,0,4,23,101,1889,1,"208"
75,2,1,0,4,0,4,23,118,79,1,"208"
75,2,1,0,4,0,4,23,118,1889,1,"208"
76,2,4,0,4,0,4,23,136,1135,2,"209"
76,2,4,0,4,0,4,23,136,2189,2,"209"
77,2,1,0,4,0,4,23,195,2242,2,"207"
77,2,1,0,4,0,4,23,195,210,2,"207"
77,2,1,0,4,0,4,23,195,79,2,"207"
77,2,1,0,4,0,4,23,195,329,2,"207"
78,2,3,0,3,0,4,23,19,650,1,"199"
78,2,3,0,3,0,4,23,19,294,1,"199"
78,2,3,0,3,0,4,23,19,673,1,"199"
79,4,3,0,3,0,4,57,258,0,1,"0"
80,4,1,7,3,0,1,57,87,0,1,"0"
81,4,1,0,3,0,2,57,299,0,4,"0"
82,3,3,8,4,0,4,40,72,93,2,"257"
82,3,3,8,4,0,4,40,72,349,2,"257"
82,3,3,8,4,0,4,40,72,286,2,"257"
82,3,3,8,4,0,4,40,72,2026,2,"257"
82,3,3,8,4,0,4,40,72,1012,2,"257"
83,3,3,8,4,0,4,40,105,363,2,"258"
83,3,3,8,4,0,4,40,105,2387,2,"258"
83,3,3,8,4,0,4,40,105,2466,2,"258"
83,3,3,8,4,0,4,40,105,2499,2,"258"
83,3,3,8,4,0,4,40,105,2448,2,"258"
83,3,3,8,4,0,4,40,105,83,2,"258"
83,3,3,8,4,0,4,40,105,1379,2,"258"
84,3,1,3,4,0,4,40,246,79,1,"245"
85,3,1,10,4,0,1,40,87,646,4,"261"
85,3,1,10,4,0,1,40,87,781,4,"261"
86,3,1,3,3,0,4,40,105,951,1,"262"
86,3,1,3,3,0,4,40,105,79,1,"262"
86,3,1,3,3,0,4,40,105,286,1,"262"
87,2,4,0,4,0,5,23,200,646,2,"211"
87,2,4,0,4,0,5,23,200,679,2,"211"
87,2,4,0,4,0,5,23,200,674,2,"211"
87,2,4,0,4,0,5,23,200,1614,2,"211"
87,2,4,0,4,0,5,23,200,1732,2,"211"
88,5,2,6,3,0,4,74,118,0,2,"0"
89,5,1,10,4,0,1,74,87,739,4,"271"
89,5,1,10,4,0,1,74,87,2202,4,"271"
90,5,1,1,3,0,1,74,87,0,1,"0"
91,5,1,10,4,0,1,74,87,739,4,"273"
91,5,1,10,4,0,1,74,87,2202,4,"273"
92,9,1,3,3,0,2,91,299,0,3,"0"
92,9,1,3,3,0,2,91,299,0,2,"0"
93,9,1,2,3,0,1,91,87,0,2,"0"
94,9,1,3,3,0,1,91,87,0,2,"0"
94,9,1,3,3,0,1,91,87,0,3,"0"
95,9,1,3,3,0,2,91,298,0,2,"0"
96,9,4,2,3,0,2,91,299,0,2,"0"
96,9,4,2,3,0,2,91,299,0,3,"0"
97,9,1,3,3,0,1,91,87,0,1,"0"
98,9,1,4,3,0,2,91,279,0,2,"0"
99,9,1,4,4,0,2,94,279,646,2,"566"
100,9,1,4,3,0,4,91,183,0,3,"0"
101,9,1,4,4,0,4,94,183,1370,2,"574"
101,9,1,4,4,0,4,94,183,372,2,"574"
101,9,1,4,4,0,4,94,183,366,2,"574"
102,21,1,0,4,0,1,264,87,0,4,"0"
103,21,1,0,3,0,1,264,87,0,0,"0"
104,21,1,0,3,0,1,264,87,0,4,"0"
105,12,1,1,4,0,2,111,277,739,2,"422"
105,12,1,1,4,0,2,111,277,109,2,"422"
105,12,1,1,4,0,2,111,277,739,3,"422"
105,12,1,1,4,0,2,111,277,109,3,"422"
106,12,1,8,5,0,4,111,269,1780,2,"416"
106,12,1,8,5,0,4,111,269,1018,2,"416"
106,12,1,8,5,0,4,111,269,238,2,"416"
106,12,1,8,5,0,4,111,269,2332,2,"429"
106,12,1,8,5,0,4,111,269,1780,2,"429"
106,12,1,8,5,0,4,111,269,238,2,"429"
106,12,1,8,5,0,4,111,269,2593,2,"429"
106,12,1,8,5,0,4,111,269,439,2,"402"
106,12,1,8,5,0,4,111,269,2464,2,"402"
106,12,1,8,5,0,4,111,269,2597,2,"402"
106,12,1,8,5,0,4,111,269,394,2,"402"
106,12,1,8,5,0,4,111,269,203,2,"402"
106,12,1,8,5,0,4,111,269,0,2,"695"
106,12,1,8,5,0,4,111,269,238,2,"696"
106,12,1,8,5,0,4,111,269,1018,2,"696"
106,12,1,8,5,0,4,111,269,1780,2,"696"
106,12,1,8,5,0,4,111,269,2590,2,"696"
108,12,1,8,3,0,4,111,269,0,2,"0"
108,12,1,8,3,0,4,111,269,0,3,"0"
109,12,1,8,3,0,4,111,201,1780,2,"434"
109,12,1,8,3,0,4,111,201,238,2,"434"
109,12,1,8,3,0,4,111,201,1018,2,"434"
109,12,1,8,3,0,4,111,201,2590,2,"434"
110,13,2,0,4,0,4,125,50,0,2,"0"
111,13,2,0,4,0,4,125,209,0,2,"0"
112,13,1,0,3,0,4,125,262,0,2,"0"
113,13,1,0,4,0,4,125,72,0,2,"0"
114,13,1,0,3,0,4,125,72,0,2,"0"
115,13,0,0,4,0,4,125,154,0,2,"0"
116,13,1,0,3,0,2,125,279,0,2,"0"
